,5,10,20,50,100
2012-09-21,166400.00000000006,647420.0000000012,395479.99999999953,102489.99999999996,451670.00000000023
2012-09-24,163520.0000000001,641660.0000000012,392599.99999999953,102489.99999999996,450710.00000000023
2012-09-25,161900.00000000006,638420.0000000012,390979.99999999953,102489.99999999996,450170.00000000023
2012-09-26,157790.0000000001,630200.0000000012,386869.99999999953,102489.99999999996,448800.00000000023
2012-09-27,163400.00000000006,641420.0000000012,392479.99999999953,102489.99999999996,450670.00000000023
2012-09-28,164450.0000000001,643520.0000000012,393529.99999999953,102489.99999999996,451020.00000000023
2012-10-01,165320.00000000006,645260.0000000012,394399.99999999953,102489.99999999996,451310.00000000023
2012-10-02,163580.00000000006,641780.0000000012,392659.99999999953,102489.99999999996,450730.00000000023
2012-10-03,152330.00000000006,619280.0000000012,381409.99999999953,102489.99999999996,446980.00000000023
2012-10-04,162980.00000000006,640580.0000000012,392059.99999999953,102489.99999999996,450530.00000000023
2012-10-05,157580.00000000006,629780.0000000012,386659.99999999953,102489.99999999996,448730.00000000023
2012-10-08,155960.0000000001,626540.0000000012,385039.99999999953,102489.99999999996,448190.00000000023
2012-10-09,165110.0000000001,644840.0000000012,394189.99999999953,102489.99999999996,451240.00000000023
2012-10-10,161690.0000000001,638000.0000000012,390769.99999999953,102489.99999999996,450100.00000000023
2012-10-11,164270.0000000001,643160.0000000012,393349.99999999953,102489.99999999996,450960.00000000023
2012-10-12,163610.0000000001,641840.0000000012,392689.99999999953,102489.99999999996,450740.00000000023
2012-10-15,163730.00000000006,642080.0000000012,392809.99999999953,102489.99999999996,450780.00000000023
2012-10-16,164390.0000000001,643400.0000000013,393469.9999999996,102489.99999999996,451000.00000000023
2012-10-17,164540.0000000001,643700.0000000013,393619.9999999996,102489.99999999996,451050.00000000023
2012-10-18,164480.0000000001,643610.0000000013,393559.9999999996,102429.99999999996,450980.00000000023
2012-10-19,170630.0000000001,649760.0000000013,399709.9999999996,114729.99999999994,463280.00000000023
2012-10-22,176000.00000000006,655130.0000000013,405079.9999999996,125469.9999999999,474020.0000000002
2012-10-23,181850.00000000006,660980.0000000013,410929.9999999996,137169.9999999999,485720.0000000002
2012-10-24,184670.00000000006,663800.0000000013,413749.9999999996,142809.9999999999,491360.0000000002
2012-10-25,183740.0000000001,662870.0000000013,412819.99999999965,140949.99999999997,489500.00000000023
2012-10-26,183140.0000000001,662270.0000000013,412219.99999999965,139749.99999999994,488300.00000000023
2012-10-31,183350.00000000006,662480.0000000013,412429.99999999965,140169.9999999999,488720.0000000002
2012-11-01,180830.0000000001,659960.0000000013,409909.9999999997,135129.99999999997,483680.00000000023
2012-11-02,187340.00000000006,666470.0000000013,416419.99999999965,148149.99999999988,496700.0000000002
2012-11-05,185120.0000000001,664250.0000000013,414199.99999999965,143709.9999999999,492260.00000000023
2012-11-06,176030.0000000001,655160.0000000013,405109.99999999965,125529.99999999991,474080.00000000023
2012-11-07,188810.00000000012,667940.0000000013,417889.99999999965,151089.99999999994,499640.00000000023
2012-11-08,186860.0000000001,665990.0000000013,415939.99999999965,147189.9999999999,495740.0000000002
2012-11-09,183890.00000000012,663020.0000000013,412969.99999999965,141249.99999999994,489800.00000000023
